Name,Address,City,State,Zip,TYP,County,Source,Source_URL,Phone,Hours
Faith Covenant Church,12921 Nicollet Ave,Burnsville,MN,55337,Home Delivered Meals,Dakota,Meals On Wheels,https://www.mealsonwheelsmn.com/,9523939860,
St. Stephen Lutheran Church,8400 France Ave S,Bloomington,MN,55431,Home Delivered Meals,Hennepin,Meals On Wheels,https://www.bloomingtonmealsonwheels.com/,9528351665,
Judson Memorial Baptist Church,4101 Harriet Ave,Minneapolis,MN,55409,Home Delivered Meals,Hennepin,Meals On Wheels,https://meals-on-wheels.com/,6126233363,
Mount Calvary Lutheran Church - ELCA,301 County Road 19,Excelsior,MN,55331,Home Delivered Meals,Hennepin,Meals On Wheels,https://meals-on-wheels.com/,6126233363,
Community Action Center - Northfield,1651 Jefferson Pkwy Ste Hs-200,Northfield,MN,55057,Home Delivered Meals,Rice,Meals On Wheels,https://communityactioncenter.org/,5076643550,
Northfield Hospital + Clinics,2000 North Avenue,Northfield,MN,55057,Home Delivered Meals,Dakota,Meals On Wheels,https://www.northfieldhospital.org/,5076461034,
