Name,Address,City,State,Zip,TYP,County,Source,Source_URL,Phone,Hours
Park Nicollet Clinic Open Arms,1415 Saint Francis Ave,Shakopee,MN,55379,Food Program,Scott,Open Arms,https://www.openarmsmn.org/get-meals/ourdeliveryarea/,6127677333,
Mary Mother of the Church Open Arms,3333 Cliff Rd ,Burnsville,MN,55337,Food Program,Dakota,Open Arms,https://www.openarmsmn.org/get-meals/ourdeliveryarea/,6127677333,
