OID,facility_c,facility_i,facility_t,facility_n,sys_loc_co,loc_name,loc_type,loc_type_2,well_statu,geologic_u,depth_of_w,bottom_of_,surf_elev,latest_sam,number_of_,result_cou,non_detect,detect_bel,exceedance,exceedan_1,exceedan_2,exceedan_3,exceedan_4,exceedan_5,exceedan_6,detect_b_1,detect_b_2,detect_b_3,detect_b_4,detect_b_5,latitude,longitude,eda_url,data_downl,moving_avg
941,SR0001491,43625976.0,Superfund,East Metro PFAS,748211,3MWD MW-1JS,Well,Well-Monitoring,Active,Jordan,335.0,577.0,912,2017-11-13,7.0,188.0,14.0,2.0,4.0,5696.2,11/13/2017,45298-90-6; 45298-90-6; 335-67-1; 335-67-1,Perfluorooctanesulfonate (PFOS); Perfluorooctanesulfonate (PFOS); Perfluorooctanoic acid (PFOA); Perfluorooctanoic acid (PFOA),.16 ug/L; .16 ug/L; .045 ug/L; .045 ug/L,69.57; 69.57; 5696.2; 5696.2,375-22-4; 375-22-4,Perfluorobutanoic acid (PFBA); Perfluorobutanoic acid (PFBA),.13 ug/L; .13 ug/L,.02; .02,11/13/2017,44.857091,-92.900849,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=748211,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=748211,4.428571428571429
4636,SR0001491,43625976.0,Superfund,East Metro PFAS,792093,3MWDBY MW10JS,Well,Well-Monitoring,Active,Jordan,330.0,584.0,914,2017-11-13,3.0,70.0,8.0,2.0,4.0,9113.92,11/13/2017,45298-90-6; 45298-90-6; 335-67-1; 335-67-1,Perfluorooctanesulfonate (PFOS); Perfluorooctanesulfonate (PFOS); Perfluorooctanoic acid (PFOA); Perfluorooctanoic acid (PFOA),.2 ug/L; .2 ug/L; .072 ug/L; .072 ug/L,86.96; 86.96; 9113.92; 9113.92,375-22-4; 375-22-4,Perfluorobutanoic acid (PFBA); Perfluorobutanoic acid (PFBA),.19 ug/L; .19 ug/L,.03; .03,11/13/2017,44.857143,-92.898027,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=792093,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=792093,3.5714285714285716
2650,SR0000365,31373698.0,Superfund,3M Woodbury,806164, ,Well,Well,Active,Quaternary Water Table Aquifer,67.0,0.0, ,2017-11-13,4.0,98.0,6.0,2.0,4.0,11139.24,11/13/2017,45298-90-6; 45298-90-6; 335-67-1; 335-67-1,Perfluorooctanesulfonate (PFOS); Perfluorooctanesulfonate (PFOS); Perfluorooctanoic acid (PFOA); Perfluorooctanoic acid (PFOA),.058 ug/L; .058 ug/L; .088 ug/L; .088 ug/L,25.22; 25.22; 11139.24; 11139.24,375-22-4; 375-22-4,Perfluorobutanoic acid (PFBA); Perfluorobutanoic acid (PFBA),.22 ug/L; .22 ug/L,.03; .03,11/13/2017,44.8565,-92.894674,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=806164,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=806164,2.7142857142857144
93,SR0000365,31373698.0,Superfund,3M Woodbury,806165, ,Well,Well,Active,Quaternary Water Table Aquifer,112.0,0.0, ,2017-11-13,4.0,98.0,2.0,4.0,6.0,24050.63,11/13/2017,108427-53-8; 108427-53-8; 45298-90-6; 45298-90-6; 335-67-1; 335-67-1,Perfluorohexanesulfonate (PFHxS); Perfluorohexanesulfonate (PFHxS); Perfluorooctanesulfonate (PFOS); Perfluorooctanesulfonate (PFOS); Perfluorooctanoic acid (PFOA); Perfluorooctanoic acid (PFOA),.04 ug/L; .04 ug/L; .42 ug/L; .42 ug/L; .19 ug/L; .19 ug/L,4; 4; 182.61; 182.61; 24050.63; 24050.63,375-22-4; 375-22-4; 307-24-4; 307-24-4,Perfluorobutanoic acid (PFBA); Perfluorobutanoic acid (PFBA); Perfluorohexanoic acid (PFHxA); Perfluorohexanoic acid (PFHxA),.93 ug/L; .93 ug/L; .02 ug/L; .02 ug/L,.13; .13; .1; .1,11/13/2017,44.861802,-92.904575,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=806165,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=806165,2.857142857142857
14351,SR0001491,43625976.0,Superfund,East Metro PFAS,1000023857, ,Well,Well-Domestic,Active, ,0.0,0.0,689,2017-11-14,1.0,136.0,134.0,2.0,0.0,0.0, , , , , ,67-66-3; 67-66-3,Chloroform; Chloroform,.07 ug/L; .07 ug/L,0; 0,11/14/2017,45.019081,-92.773776,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=1000023857,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=1000023857,2.5714285714285716
6918,SR0000084,1389.0,Superfund,Baytown Twp Groundwater Cont,1000023857, ,Well,Well-Domestic,Active, ,0.0,0.0,922.75,2017-11-14,1.0,136.0,134.0,2.0,0.0,0.0, , , , , ,67-66-3; 67-66-3,Chloroform; Chloroform,.07 ug/L; .07 ug/L,0; 0,11/14/2017,45.019108,-92.773776,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=1000023857,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=1000023857,2.2857142857142856
8238,SR0001491,43625976.0,Superfund,East Metro PFAS,427043, ,Well,Well-Domestic,Active,Prairie du Chien Group,160.0,752.0,912,2017-11-20,8.0,459.0,174.0,16.0,2.0,1.22,06/24/1999,NO2NO3; NO2NO3,Inorganic nitrogen (nitrate and nitrite) as N; Inorganic nitrogen (nitrate and nitrite) as N,12170 ug/L; 12170 ug/L,1.22; 1.22,171262-17-2; 171262-17-2; 1912-24-9; 1912-24-9; 7440-42-8; 7440-42-8; 6190-65-4; 6190-65-4; 171118-09-5; 171118-09-5; 152019-73-3; 152019-73-3; 375-22-4; 375-22-4; 7440-66-6; 7440-66-6,Alachlor OXA; Alachlor OXA; Atrazine; Atrazine; Boron; Boron; Desethylatrazine; Desethylatrazine; Metolachlor ESA; Metolachlor ESA; Metolachlor OXA; Metolachlor OXA; Perfluorobutanoic acid (PFBA); Perfluorobutanoic acid (PFBA); Zinc; Zinc,2.23 ug/L; 2.23 ug/L; .07 ug/L; .07 ug/L; 22.1 ug/L; 22.1 ug/L; .05 ug/L; .05 ug/L; 1.62 ug/L; 1.62 ug/L; 1.32 ug/L; 1.32 ug/L; .21 ug/L; .21 ug/L; 27 ug/L; 27 ug/L,.04; .04; .02; .02; .04; .04; .02; .02; 0; 0; 0; 0; .03; .03; .01; .01,11/20/2017,44.855446,-92.914824,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=427043,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=427043,1.7142857142857142
6461,SR0000365,31373698.0,Superfund,3M Woodbury,427043, ,Well,Well-Domestic,Active,Prairie du Chien Group,160.0,752.0,912,2017-11-20,8.0,459.0,174.0,16.0,2.0,1.22,06/24/1999,NO2NO3; NO2NO3,Inorganic nitrogen (nitrate and nitrite) as N; Inorganic nitrogen (nitrate and nitrite) as N,12170 ug/L; 12170 ug/L,1.22; 1.22,171262-17-2; 171262-17-2; 1912-24-9; 1912-24-9; 7440-42-8; 7440-42-8; 6190-65-4; 6190-65-4; 171118-09-5; 171118-09-5; 152019-73-3; 152019-73-3; 375-22-4; 375-22-4; 7440-66-6; 7440-66-6,Alachlor OXA; Alachlor OXA; Atrazine; Atrazine; Boron; Boron; Desethylatrazine; Desethylatrazine; Metolachlor ESA; Metolachlor ESA; Metolachlor OXA; Metolachlor OXA; Perfluorobutanoic acid (PFBA); Perfluorobutanoic acid (PFBA); Zinc; Zinc,2.23 ug/L; 2.23 ug/L; .07 ug/L; .07 ug/L; 22.1 ug/L; 22.1 ug/L; .05 ug/L; .05 ug/L; 1.62 ug/L; 1.62 ug/L; 1.32 ug/L; 1.32 ug/L; .21 ug/L; .21 ug/L; 27 ug/L; 27 ug/L,.04; .04; .02; .02; .04; .04; .02; .02; 0; 0; 0; 0; .03; .03; .01; .01,11/20/2017,44.852391,-92.910767,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=427043,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=427043,0.8571428571428571
8239,SR0001491,43625976.0,Superfund,East Metro PFAS,427043, ,Well,Well-Domestic,Active,Prairie du Chien Group,160.0,752.0,912,2017-11-20,8.0,459.0,174.0,16.0,2.0,1.22,06/24/1999,NO2NO3; NO2NO3,Inorganic nitrogen (nitrate and nitrite) as N; Inorganic nitrogen (nitrate and nitrite) as N,12170 ug/L; 12170 ug/L,1.22; 1.22,171262-17-2; 171262-17-2; 1912-24-9; 1912-24-9; 7440-42-8; 7440-42-8; 6190-65-4; 6190-65-4; 171118-09-5; 171118-09-5; 152019-73-3; 152019-73-3; 375-22-4; 375-22-4; 7440-66-6; 7440-66-6,Alachlor OXA; Alachlor OXA; Atrazine; Atrazine; Boron; Boron; Desethylatrazine; Desethylatrazine; Metolachlor ESA; Metolachlor ESA; Metolachlor OXA; Metolachlor OXA; Perfluorobutanoic acid (PFBA); Perfluorobutanoic acid (PFBA); Zinc; Zinc,2.23 ug/L; 2.23 ug/L; .07 ug/L; .07 ug/L; 22.1 ug/L; 22.1 ug/L; .05 ug/L; .05 ug/L; 1.62 ug/L; 1.62 ug/L; 1.32 ug/L; 1.32 ug/L; .21 ug/L; .21 ug/L; 27 ug/L; 27 ug/L,.04; .04; .02; .02; .04; .04; .02; .02; 0; 0; 0; 0; .03; .03; .01; .01,11/20/2017,44.855446,-92.914824,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=427043,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=427043,0.8571428571428571
6903,SR0000365,31373698.0,Superfund,3M Woodbury,519090,Stechon 2,Well,Well,Active,Prairie du Chien-Jordan,320.0,0.0, ,2017-11-21,3.0,56.0,16.0,2.0,0.0,0.02, , , , , ,375-22-4; 375-22-4,Perfluorobutanoic acid (PFBA); Perfluorobutanoic acid (PFBA),.12 ug/L; .12 ug/L,.02; .02,11/21/2017,44.85668,-92.916645,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=519090,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=519090,1.4285714285714286
