Join_Count,TARGET_FID,facility_c,facility_i,facility_t,facility_n,sys_loc_co,loc_name,loc_type,loc_type_2,well_statu,geologic_u,depth_of_w,bottom_of_,surf_elev,latest_sam,number_of_,result_cou,non_detect,detect_bel,exceedance,exceedan_1,exceedan_2,exceedan_3,exceedan_4,exceedan_5,exceedan_6,detect_b_1,detect_b_2,detect_b_3,detect_b_4,detect_b_5,latitude,longitude,eda_url,data_downl,GNIS_FEATU,FEATURE_NA,CTU_CLASS,COUNTY_GNI,COUNTY_COD,COUNTY_NAM,POPULATION,SHAPE_Leng,Combined_GNIS_IDs,JoinKey
1,9879,SR0001491,43625976.000000000000000,Superfund,East Metro PFAS,476671, ,Well,Well-Domestic,Active,Jordan,0.000000000000000,900.000000000000000,900,8/17/2017 0:00:00,1.000000000000000,14.000000000000000,2.000000000000000,4.000000000000000,6.000000000000000,15189.870000000000800,08/17/2017,108427-53-8; 108427-53-8; 45298-90-6; 45298-90-6; 335-67-1; 335-67-1,Perfluorohexanesulfonate (PFHxS); Perfluorohexanesulfonate (PFHxS); Perfluorooctanesulfonate (PFOS); Perfluorooctanesulfonate (PFOS); Perfluorooctanoic acid (PFOA); Perfluorooctanoic acid (PFOA),.018 ug/L; .018 ug/L; .17 ug/L; .17 ug/L; .12 ug/L; .12 ug/L,1.8; 1.8; 73.91; 73.91; 15189.87; 15189.87,375-22-4; 375-22-4; 307-24-4; 307-24-4,Perfluorobutanoic acid (PFBA); Perfluorobutanoic acid (PFBA); Perfluorohexanoic acid (PFHxA); Perfluorohexanoic acid (PFHxA),.48 ug/L; .48 ug/L; .028 ug/L; .028 ug/L,.07; .07; .14; .14,08/17/2017,44.962373999999997,-92.833973000000000,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=476671,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=476671,665966,West Lakeland,TOWNSHIP,659526,82,Washington,3941,24495.634817300000577,665966_659526,476671_665966_659526
1,9880,LS0011420,1781.000000000000000,Petroleum,Polish Palace (LS),670076,MW-5,Well,Well-Monitoring, , ,19.480000000000000,1119.000000000000000,1137.98,1/22/2015 0:00:00,1.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , , , , , ,45.920361999999997,-94.466628000000000,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=670076,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=670076,2395905,Sobieski,CITY,659494,49,Morrison,209,18401.018664800001716,2395905_659494,670076_2395905_659494
1,9881,SR0001547,101532737.000000000000000,Superfund,BEMIDJI MUNICIPAL WELLS,274322, ,Well,Well-Domestic,Active, ,0.000000000000000,0.000000000000000, ,9/30/2020 0:00:00,4.000000000000000,84.000000000000000,21.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , , , , , ,47.503431999999997,-94.914698999999999,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=274322,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=274322,2394130,Bemidji,CITY,659449,04,Beltrami,15947,93922.590583400000469,2394130_659449,274322_2394130_659449
1,9882,SR0000084,1389.000000000000000,Superfund,Baytown Twp Groundwater Cont,106261, ,Well,Well-Domestic,Active,Prairie du Chien Group,240.000000000000000,782.000000000000000,1022.00,4/10/2020 0:00:00,3.000000000000000,408.000000000000000,132.000000000000000,2.000000000000000,2.000000000000000,1.400000000000000,04/10/2020,79-01-6; 79-01-6,Trichloroethene (TCE); Trichloroethene (TCE),.56 ug/L; .56 ug/L,1.4; 1.4,67-66-3; 67-66-3,Chloroform; Chloroform,.19 ug/L; .19 ug/L,.01; .01,04/10/2020,44.991565000000001,-92.820961999999994,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=106261,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=106261,665966,West Lakeland,TOWNSHIP,659526,82,Washington,3941,24495.634817300000577,665966_659526,106261_665966_659526
1,9883,SR0000084,1389.000000000000000,Superfund,Baytown Twp Groundwater Cont,2001003713,F-108,Well,Well-Temporary,Inactive, ,70.000000000000000,850.000000000000000,919.83926828,6/1/2018 0:00:00,2.000000000000000,138.000000000000000,69.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , , , , , ,45.000320000000002,-92.866066000000004,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=2001003713,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=2001003713,2395589,Lake Elmo,CITY,659526,82,Washington,13514,36647.448345800003153,2395589_659526,2001003713_2395589_659526
1,9884,SR0000040,1751.000000000000000,Superfund,Long Prairie Groundwater Contamination,428808,MW-14B,Well,Well-Monitoring,Active, ,26.000000000000000,1271.000000000000000,1297.0144772,9/24/2019 0:00:00,7.000000000000000,481.000000000000000,68.000000000000000,1.000000000000000,0.000000000000000,0.780000000000000, , , , , ,156-59-2,"cis-1,2-Dichloroethene",4.7 ug/L,.78,09/24/2019,45.978487000000001,-94.856009999999998,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=428808,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=428808,2395758,Long Prairie,CITY,659521,77,Todd,3727,36867.629630299998098,2395758_659521,428808_2395758_659521
1,9885,SR0001491,43625976.000000000000000,Superfund,East Metro PFAS,664193, ,Well,Well-Domestic,Active,Jordan,0.000000000000000,907.000000000000000,907,2/1/2019 0:00:00,2.000000000000000,42.000000000000000,12.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000, , , , , ,375-22-4; 375-22-4,Perfluorobutanoic acid; Perfluorobutanoic acid,.028 ug/L; .028 ug/L,0; 0,02/01/2019,44.959107000000003,-92.854737999999998,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=664193,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=664193,665966,West Lakeland,TOWNSHIP,659526,82,Washington,3941,24495.634817300000577,665966_659526,664193_665966_659526
1,9886,SR0001491,43625976.000000000000000,Superfund,East Metro PFAS,412392, ,Well,Well-Domestic,Active,Jordan,315.000000000000000,547.000000000000000,862,7/29/2021 0:00:00,3.000000000000000,120.000000000000000,40.000000000000000,8.000000000000000,2.000000000000000,1392.410000000000082,07/29/2021,335-67-1; 335-67-1,Perfluorooctanoic acid (PFOA); Perfluorooctanoic acid (PFOA),.011 ug/L; .011 ug/L,1392.41; 1392.41,45187-15-3; 45187-15-3; 375-22-4; 375-22-4; 108427-53-8; 108427-53-8; 307-24-4; 307-24-4,Perfluorobutanesulfonate (PFBS); Perfluorobutanesulfonate (PFBS); Perfluorobutanoic acid (PFBA); Perfluorobutanoic acid (PFBA); Perfluorohexanesulfonate (PFHxS); Perfluorohexanesulfonate (PFHxS); Perfluorohexanoic acid (PFHxA); Perfluorohexanoic acid (PF,.0033 ug/L; .0033 ug/L; .75 ug/L; .75 ug/L; .00094 ug/L; .00094 ug/L; .01 ug/L; .01 ug/L,.03; .03; .11; .11; .09; .09; .05; .05,07/29/2021,44.756442999999997,-92.835903000000002,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=412392,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=412392,663965,Denmark,TOWNSHIP,659526,82,Washington,1843,41445.044182999998156,663965_659526,412392_663965_659526
1,9887,SW-58,1273.000000000000000,Closed Landfill,Hopkins Landfill,874798,MW-111D,Well,Well-Monitoring,Active, ,0.000000000000000,0.000000000000000, ,5/10/2023 0:00:00,1.000000000000000,103.000000000000000,94.000000000000000,6.000000000000000,1.000000000000000,240.509999999999991,05/10/2023,335-67-1,Perfluorooctanoic acid (PFOA),.0019 ug/L,240.51,123-91-1; 7440-39-3; 45187-15-3; 375-22-4; 307-24-4; 45298-90-6,"1,4-Dioxane; Barium, Dissolved; Perfluorobutanesulfonate (PFBS); Perfluorobutanoic acid (PFBA); Perfluorohexanoic acid (PFHxA); Perfluorooctanesulfonate (PFOS)",.18 ug/L; 38.7 ug/L; .00084 ug/L; .0098 ug/L; .0019 ug/L; .00082 ug/L,.18; .02; .01; 0; .01; .36,05/10/2023,44.911428000000001,-93.411343000000002,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=874798,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=874798,2394417,Hopkins,CITY,659472,27,Hennepin,18608,21196.223854299998493,2394417_659472,874798_2394417_659472
1,9888,SW-102,1305.000000000000000,Closed Landfill,Carlton County 2 Landfill,880353,MW-15A,Well,Well-Monitoring,Active, ,0.000000000000000,0.000000000000000,1180.868,5/7/2024 0:00:00,1.000000000000000,116.000000000000000,98.000000000000000,5.000000000000000,1.000000000000000,3.600000000000000,05/07/2024,7439-96-5,"Manganese, Dissolved",360 ug/L,3.6,7440-38-2; 7440-47-3; 375-22-4; 375-73-5; 7440-66-6,"Arsenic, Dissolved; Chromium, Dissolved; PFBA; PFBS; Zinc, Dissolved",.66 ug/L; .78 ug/L; .0067 ug/L; .0011 ug/L; 3.9 ug/L,.07; .01; 0; .01; 0,05/07/2024,46.661523000000003,-92.496262000000002,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=880353,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=880353,665823,Twin Lakes,TOWNSHIP,659454,09,Carlton,2196,90169.055674300005194,665823_659454,880353_665823_659454
1,9889,LS0012970,1735.000000000000000,Petroleum,Macs Inn,765481,MW10,Well,Well-Monitoring,Active,Quaternary Water Table Aquifer,50.049999999999997,1447.000000000000000,1497.39,4/30/2012 0:00:00,2.000000000000000,28.000000000000000,14.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , , , , , ,46.835130999999997,-95.687696000000003,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=765481,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=765481,664107,Erie,TOWNSHIP,659448,03,Becker,1733,38791.608105400002387,664107_659448,765481_664107_659448
1,9890,LS0011420,1781.000000000000000,Petroleum,Polish Palace (LS),770167,MW-9,Well,Well-Monitoring, , ,18.879999999999999,1119.000000000000000,1137.58,1/22/2015 0:00:00,1.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , , , , , ,45.920261000000004,-94.466838999999993,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=770167,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=770167,2395905,Sobieski,CITY,659494,49,Morrison,209,18401.018664800001716,2395905_659494,770167_2395905_659494
1,9891,SR0000087,33288840.000000000000000,Superfund,"MDA - Cedar Services, Minneapolis",616475,MW-108,Well,Well-Monitoring,Active, ,42.500000000000000,810.000000000000000,852.18,5/17/2021 0:00:00,1.000000000000000,22.000000000000000,18.000000000000000,0.000000000000000,2.000000000000000,10.000000000000000,05/17/2021,87-86-5; 87-86-5,Pentachlorophenol; Pentachlorophenol,3 ug/L; 3 ug/L,10; 10, , , , , ,45.017271999999998,-93.259792000000004,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=616475,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=616475,2395345,Minneapolis,CITY,659472,27,Hennepin,436934,61006.932956600001489,2395345_659472,616475_2395345_659472
1,9892,SR0001401,33289094.000000000000000,Superfund,Southeast Hennepin Area Groundwater & Vapor Site (SF),191913,109,Well,Well-Monitoring,Active, ,23.250000000000000,835.000000000000000,858.1,10/30/2019 0:00:00,4.000000000000000,804.000000000000000,102.000000000000000,24.000000000000000,2.000000000000000,35.750000000000000,10/30/2019,79-01-6; 79-01-6,Trichloroethene; Trichloroethene,14.3 ug/L; 14.3 ug/L,35.75; 35.75,75-34-3; 75-34-3; 95-63-6; 95-63-6; 108-67-8; 108-67-8; 71-43-2; 71-43-2; 67-66-3; 67-66-3; 100-41-4; 100-41-4; 91-20-3; 91-20-3; 127-18-4; 127-18-4; 108-88-3; 108-88-3; 75-01-4; 75-01-4; 1330-20-7; 1330-20-7; 156-59-2; 156-59-2,"1,1-Dichloroethane; 1,1-Dichloroethane; 1,2,4-Trimethylbenzene; 1,2,4-Trimethylbenzene; 1,3,5-Trimethylbenzene; 1,3,5-Trimethylbenzene; Benzene; Benzene; Chloroform; Chloroform; Ethylbenzene; Ethylbenzene; Naphthalene; Naphthalene; Tetrachloroethene; Tet",.26 ug/L; .26 ug/L; 1.2 ug/L; 1.2 ug/L; .27 ug/L; .27 ug/L; .16 ug/L; .16 ug/L; 2.8 ug/L; 2.8 ug/L; 1 ug/L; 1 ug/L; 3.4 ug/L; 3.4 ug/L; .2 ug/L; .2 ug/L; .2 ug/L; .2 ug/L; .12 ug/L; .12 ug/L; 2.2 ug/L; 2.2 ug/L; 3.9 ug/L; 3.9 ug/L,0; 0; .04; .04; .01; .01; .08; .08; .14; .14; .03; .03; .05; .05; .05; .05; 0; 0; .6; .6; .01; .01; .65; .65,10/30/2019,44.989801999999997,-93.223386000000005,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=191913,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=191913,2395345,Minneapolis,CITY,659472,27,Hennepin,436934,61006.932956600001489,2395345_659472,191913_2395345_659472
1,9893,SR0001405,33289098.000000000000000,Superfund,University Ave & Pascal St,2001001878,SB-7 BW,Well,Well-Temporary,Inactive, ,0.000000000000000,0.000000000000000,925.81695876,6/5/2015 0:00:00,1.000000000000000,67.000000000000000,63.000000000000000,2.000000000000000,2.000000000000000,86.500000000000000,06/05/2015,127-18-4; 79-01-6,Tetrachloroethene; Trichloroethene,44.4 ug/L; 34.6 ug/L,11.1; 86.5,156-59-2; 156-60-5,"cis-1,2-Dichloroethene; trans-1,2-Dichloroethene",5.7 ug/L; 2.3 ug/L,.95; .26,06/05/2015,44.956223999999999,-93.160646000000000,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=2001001878,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=2001001878,2396511,Saint Paul,CITY,659507,62,Ramsey,310992,60578.875867100003234,2396511_659507,2001001878_2396511_659507
1,9894,SR0001400,33289093.000000000000000,Superfund,66th St & Vincent Ave,2001001151,SB-11,Borehole,Borehole, , ,24.000000000000000,855.000000000000000,879.0223378,10/21/2015 0:00:00,1.000000000000000,67.000000000000000,67.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, , , , , , , , , , ,44.884304999999998,-93.316362999999996,https://webapp.pca.state.mn.us/edaGwater/stations/stationId=2001001151,https://services.pca.state.mn.us/api/v1/groundwater/monitoring-stations/results?format=csv&stationId=2001001151,2396362,Richfield,CITY,659472,27,Hennepin,36543,17980.705806699999812,2396362_659472,2001001151_2396362_659472
