Group,Program,Preferred ID,Facility name,Sys Loc Code,Loc Name,Loc Type,Latitude,Longitude,Sys Sample Code,Sample date,Medium,Matrix,Analyte,Analyte Short Name,CAS,Detect Flag,Result text,Result numeric,Unit,Lab Qualifiers,Detect description,Method Detection Limit,Reporting Detection Limit,Approval code,Fraction,Dilution factor,Result type code,Analytic method,AI ID,AI name,Address,City,State,Zip Code,County
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Perfluorohexanesulfonic acid,PFHxS,355-46-4,N,<0.93,,ng/L,<,Below Method Detection Limit,0.93,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Perfluorononanoic acid,PFNA,375-95-1,N,<0.66,,ng/L,<,Below Method Detection Limit,0.66,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Perfluorononanesulfonic acid,PFNS,68259-12-1,N,<1.67,,ng/L,<,Below Method Detection Limit,1.67,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Perfluorooctanoic acid,PFOA,335-67-1,Y,5.79,5.79,ng/L,,,0.79,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Perfluorooctanesulfonic acid,PFOS,1763-23-1,N,<0.87,,ng/L,<,Below Method Detection Limit,0.87,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Perfluorooctanesulfonamide,PFOSA,754-91-6,N,<0.4,,ng/L,<,Below Method Detection Limit,0.4,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Perfluoropentanoic acid,PFPeA,2706-90-3,Y,19.1,19.1,ng/L,,,1.04,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Perfluoropentanesulfonic acid,PFPeS,2706-91-4,N,<0.42,,ng/L,<,Below Method Detection Limit,0.42,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Perfluorotetradecanoic acid,PFTA,376-06-7,N,<1.3,,ng/L,<,Below Method Detection Limit,1.3,5.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Perfluorotridecanoic acid,PFTrA,72629-94-8,N,<1.76,,ng/L,<,Below Method Detection Limit,1.76,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,2023-05-03,Water,Wtr-Surf,Perfluoroundecanoic acid,PFUnA,2058-94-8,N,<0.81,,ng/L,<,Below Method Detection Limit,0.81,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,11Cl-PF3OUdS,763051-92-9,N,<1.58,,ng/L,<,Below Method Detection Limit,1.58,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,FtS 4:2 acid,4:2 FtS,757124-72-4,N,<2.24,,ng/L,<,Below Method Detection Limit,2.24,8.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,FtS 6:2 acid,6:2 FtS,27619-97-2,Y,12.6,12.6,ng/L,,,3.37,8.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,FtS 8:2 acid,8:2 FtS,39108-34-4,N,<4.47,,ng/L,<,Below Method Detection Limit,4.47,8.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,9-chlorohexadecafluoro-3-oxanone-1-sulfonic acid,9Cl-PF3ONS,756426-58-1,N,<0.93,,ng/L,<,Below Method Detection Limit,0.93,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,"4,8-Dioxa-3H-perfluorononanoic acid",ADONA,919005-14-4,N,<0.73,,ng/L,<,Below Method Detection Limit,0.73,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,N-ethyl perfluorooctanesulfonamidoacetic acid,EtFOSAA,2991-50-6,N,<1.26,,ng/L,<,Below Method Detection Limit,1.26,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,Hexafluoropropylene oxide dimer acid,HFPO-DA,13252-13-6,N,<2.34,,ng/L,<,Below Method Detection Limit,2.34,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,N-methyl perfluorooctanesulfonamidoacetic acid,MeFOSAA,2355-31-9,N,<1.02,,ng/L,<,Below Method Detection Limit,1.02,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,N-ethylperfluoro-1-octanesulfonamide,N-EtFOSA,4151-50-2,N,<1.15,,ng/L,<,Below Method Detection Limit,1.15,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,2-(N-ethylperfluoro-1-octanesulfonamido)-ethanol,N-EtFOSE,1691-99-2,N,<5.85,,ng/L,<,Below Method Detection Limit,5.85,20.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,N-methylperfluoro-1-octanesulfonamide,N-MeFOSA,31506-32-8,N,<1.91,,ng/L,<,Below Method Detection Limit,1.91,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,2-(N-methylperfluoro-1-octanesulfonamido)-ethanol,N-MeFOSE,24448-09-7,N,<5.32,,ng/L,<,Below Method Detection Limit,5.32,20.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,Perfluorobutanoic acid,PFBA,375-22-4,Y,79.8,79.8,ng/L,,,2.91,10.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,Perfluorobutanesulfonic acid,PFBS,375-73-5,Y,4.48,4.48,ng/L,,,0.28,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,Perfluorodecanoic acid,PFDA,335-76-2,N,<1.52,,ng/L,<,Below Method Detection Limit,1.52,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,Perfluorododecanoic acid,PFDoA,307-55-1,N,<2.06,,ng/L,<,Below Method Detection Limit,2.06,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,Perfluorododecanesulfonic acid,PFDoS,79780-39-5,N,<2.32,,ng/L,<,Below Method Detection Limit,2.32,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,Perfluorodecanesulfonic acid,PFDS,335-77-3,N,<0.98,,ng/L,<,Below Method Detection Limit,0.98,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,Perfluoroheptanoic acid,PFHpA,375-85-9,Y,9.01,9.01,ng/L,,,0.82,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,Perfluoroheptanesulfonic acid,PFHpS,375-92-8,N,<0.45,,ng/L,<,Below Method Detection Limit,0.45,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,Perfluorohexanoic acid,PFHxA,307-24-4,Y,86.3,86.3,ng/L,,,0.96,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,Perfluorohexanesulfonic acid,PFHxS,355-46-4,N,<0.93,,ng/L,<,Below Method Detection Limit,0.93,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,Perfluorononanoic acid,PFNA,375-95-1,N,<0.66,,ng/L,<,Below Method Detection Limit,0.66,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,Perfluorononanesulfonic acid,PFNS,68259-12-1,N,<1.67,,ng/L,<,Below Method Detection Limit,1.67,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2306011050.000S,2023-06-01,Water,Wtr-Surf,Perfluorooctanoic acid,PFOA,335-67-1,Y,14.1,14.1,ng/L,,,0.79,4.0,Prelim,Total,2.0,TRG,8327,46285.0,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
