unnamed: 0,unnamed: 0.2,unnamed: 0.1,group,program,preferred id,facility name,sys loc code,loc name,loc type,latitude,longitude,sys sample code,sample date,medium,matrix,analyte,analyte short name,cas,detect flag,result text,result numeric,unit,lab qualifiers,detect description,method detection limit,reporting detection limit,approval code,fraction,dilution factor,result type code,analytic method,ai id,ai name,address,city,state,zip code,county
5395,5395,5395,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821847,DMW-3D,Well-Monitoring,45.95305,-95.331163,821847.2305181230.000S,5/18/2023,Water,Wtr-Ground,Perfluorohexanesulfonic acid,PFHxS,355-46-4,Y,12.9,12.9,ng/L,,,0.56,1.9,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5396,5396,5396,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821847,DMW-3D,Well-Monitoring,45.95305,-95.331163,821847.2305181230.000S,5/18/2023,Water,Wtr-Ground,Perfluorononanoic acid,PFNA,375-95-1,N,<0.84,,ng/L,<,Below Method Detection Limit,0.84,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5397,5397,5397,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821847,DMW-3D,Well-Monitoring,45.95305,-95.331163,821847.2305181230.000S,5/18/2023,Water,Wtr-Ground,Perfluorononanesulfonic acid,PFNS,68259-12-1,N,<0.62,,ng/L,<,Below Method Detection Limit,0.62,2.0,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5398,5398,5398,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821847,DMW-3D,Well-Monitoring,45.95305,-95.331163,821847.2305181230.000S,5/18/2023,Water,Wtr-Ground,Perfluorooctanoic acid,PFOA,335-67-1,Y,40.8,40.8,ng/L,,,0.91,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5399,5399,5399,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821847,DMW-3D,Well-Monitoring,45.95305,-95.331163,821847.2305181230.000S,5/18/2023,Water,Wtr-Ground,Perfluorooctadecanoic acid,PFODA,16517-11-6,N,<0.65,,ng/L,<,Below Method Detection Limit,0.65,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5400,5400,5400,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821847,DMW-3D,Well-Monitoring,45.95305,-95.331163,821847.2305181230.000S,5/18/2023,Water,Wtr-Ground,Perfluorooctanesulfonic acid,PFOS,1763-23-1,Y,4.8,4.8,ng/L,,,0.7,1.9,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5401,5401,5401,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821847,DMW-3D,Well-Monitoring,45.95305,-95.331163,821847.2305181230.000S,5/18/2023,Water,Wtr-Ground,Perfluorooctanesulfonamide,PFOSA,754-91-6,N,<0.75,,ng/L,<,Below Method Detection Limit,0.75,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5402,5402,5402,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821847,DMW-3D,Well-Monitoring,45.95305,-95.331163,821847.2305181230.000S,5/18/2023,Water,Wtr-Ground,Perfluoropentanoic acid,PFPeA,2706-90-3,Y,55.3,55.3,ng/L,,,0.86,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5403,5403,5403,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821847,DMW-3D,Well-Monitoring,45.95305,-95.331163,821847.2305181230.000S,5/18/2023,Water,Wtr-Ground,Perfluoropentanesulfonic acid,PFPeS,2706-91-4,Y,2.9,2.9,ng/L,,,0.63,2.0,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5404,5404,5404,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821847,DMW-3D,Well-Monitoring,45.95305,-95.331163,821847.2305181230.000S,5/18/2023,Water,Wtr-Ground,Perfluorotetradecanoic acid,PFTA,376-06-7,N,<0.63,,ng/L,<,Below Method Detection Limit,0.63,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5405,5405,5405,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821847,DMW-3D,Well-Monitoring,45.95305,-95.331163,821847.2305181230.000S,5/18/2023,Water,Wtr-Ground,Perfluorotridecanoic acid,PFTrA,72629-94-8,N,<0.65,,ng/L,<,Below Method Detection Limit,0.65,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5406,5406,5406,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821847,DMW-3D,Well-Monitoring,45.95305,-95.331163,821847.2305181230.000S,5/18/2023,Water,Wtr-Ground,Perfluoroundecanoic acid,PFUnA,2058-94-8,N,<0.51,,ng/L,<,Below Method Detection Limit,0.51,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5407,5407,5407,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,FtS 10:2 acid,10:2 FtS,120226-60-0,N,<0.97,,ng/L,<,Below Method Detection Limit,0.97,2.0,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5408,5408,5408,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,11Cl-PF3OUdS,763051-92-9,N,<0.59,,ng/L,<,Below Method Detection Limit,0.59,2.0,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5409,5409,5409,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,FtS 4:2 acid,4:2 FtS,757124-72-4,N,<0.49,,ng/L,<,Below Method Detection Limit,0.49,2.0,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5410,5410,5410,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,FtS 8:2 acid,8:2 FtS,39108-34-4,N,<0.53,,ng/L,<,Below Method Detection Limit,0.53,2.0,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5411,5411,5411,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,9-chlorohexadecafluoro-3-oxanone-1-sulfonic acid,9Cl-PF3ONS,756426-58-1,N,<0.50,,ng/L,<,Below Method Detection Limit,0.5,2.0,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5412,5412,5412,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,"4,8-Dioxa-3H-perfluorononanoic acid",ADONA,919005-14-4,N,<0.97,,ng/L,<,Below Method Detection Limit,0.97,2.0,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5413,5413,5413,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,N-ethyl perfluorooctanesulfonamidoacetic acid,EtFOSAA,2991-50-6,N,<0.86,,ng/L,<,Below Method Detection Limit,0.86,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5414,5414,5414,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Hexafluoropropylene oxide dimer acid,HFPO-DA,13252-13-6,N,<0.52,,ng/L,<,Below Method Detection Limit,0.52,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5415,5415,5415,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,N-methyl perfluorooctanesulfonamidoacetic acid,MeFOSAA,2355-31-9,N,<0.73,,ng/L,<,Below Method Detection Limit,0.73,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5416,5416,5416,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,N-ethylperfluoro-1-octanesulfonamide,N-EtFOSA,4151-50-2,N,<0.61,,ng/L,<,Below Method Detection Limit,0.61,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5417,5417,5417,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,2-(N-ethylperfluoro-1-octanesulfonamido)-ethanol,N-EtFOSE,1691-99-2,N,<0.94,,ng/L,<,Below Method Detection Limit,0.94,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5418,5418,5418,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,N-methylperfluoro-1-octanesulfonamide,N-MeFOSA,31506-32-8,N,<0.58,,ng/L,<,Below Method Detection Limit,0.58,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5419,5419,5419,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,2-(N-methylperfluoro-1-octanesulfonamido)-ethanol,N-MeFOSE,24448-09-7,N,<0.55,,ng/L,<,Below Method Detection Limit,0.55,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5420,5420,5420,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluorobutanoic acid,PFBA,375-22-4,Y,18.6,18.6,ng/L,,,0.53,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5421,5421,5421,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluorobutanesulfonic acid,PFBS,375-73-5,Y,5.2,5.2,ng/L,,,0.51,1.9,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5422,5422,5422,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluorodecanoic acid,PFDA,335-76-2,N,<0.64,,ng/L,<,Below Method Detection Limit,0.64,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5423,5423,5423,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluorododecanoic acid,PFDoA,307-55-1,N,<0.51,,ng/L,<,Below Method Detection Limit,0.51,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5424,5424,5424,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluorododecanesulfonic acid,PFDoS,79780-39-5,N,<0.62,,ng/L,<,Below Method Detection Limit,0.62,2.0,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5425,5425,5425,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluorodecanesulfonic acid,PFDS,335-77-3,N,<0.68,,ng/L,<,Below Method Detection Limit,0.68,2.0,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5426,5426,5426,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluoroheptanoic acid,PFHpA,375-85-9,Y,6,6.0,ng/L,,,0.73,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5427,5427,5427,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluoroheptanesulfonic acid,PFHpS,375-92-8,N,<0.71,,ng/L,<,Below Method Detection Limit,0.71,2.0,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5428,5428,5428,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluorohexanoic acid,PFHxA,307-24-4,Y,7.3,7.3,ng/L,,,0.96,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5429,5429,5429,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluorohexadecanoic acid,PFHxDA,67905-19-5,N,<0.48,,ng/L,<,Below Method Detection Limit,0.48,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5430,5430,5430,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluorohexanesulfonic acid,PFHxS,355-46-4,Y,8,8.0,ng/L,,,0.56,1.9,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5431,5431,5431,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluorononanoic acid,PFNA,375-95-1,Y,0.87,0.87,ng/L,J,,0.84,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5432,5432,5432,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluorononanesulfonic acid,PFNS,68259-12-1,N,<0.62,,ng/L,<,Below Method Detection Limit,0.62,2.0,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5433,5433,5433,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluorooctanoic acid,PFOA,335-67-1,Y,17.1,17.1,ng/L,,,0.91,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5434,5434,5434,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluorooctadecanoic acid,PFODA,16517-11-6,N,<0.65,,ng/L,<,Below Method Detection Limit,0.65,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5435,5435,5435,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluorooctanesulfonic acid,PFOS,1763-23-1,Y,6.2,6.2,ng/L,,,0.7,2.0,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5436,5436,5436,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluorooctanesulfonamide,PFOSA,754-91-6,N,<0.76,,ng/L,<,Below Method Detection Limit,0.76,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5437,5437,5437,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluoropentanoic acid,PFPeA,2706-90-3,Y,10.3,10.3,ng/L,,,0.87,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5438,5438,5438,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluoropentanesulfonic acid,PFPeS,2706-91-4,Y,1.3,1.3,ng/L,J,,0.63,2.0,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5439,5439,5439,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluorotetradecanoic acid,PFTA,376-06-7,N,<0.63,,ng/L,<,Below Method Detection Limit,0.63,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5440,5440,5440,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluorotridecanoic acid,PFTrA,72629-94-8,N,<0.66,,ng/L,<,Below Method Detection Limit,0.66,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5441,5441,5441,Landfills and other solid waste management facilities,Solid Waste,SW-406,Douglas County Demolition Landfill,821848,DMW-4S,Well-Monitoring,45.952189,-95.331145,821848.2305181040.000S,5/18/2023,Water,Wtr-Ground,Perfluoroundecanoic acid,PFUnA,2058-94-8,N,<0.51,,ng/L,<,Below Method Detection Limit,0.51,2.1,Prelim,Total,1,TRG,PACE 537.1 MOD,3165,Douglas County Demo & Landfill LLC,2967 Pike Rd NE,Alexandria,MN,56308,Douglas
5442,5442,5442,Manufacturing and industrial facilities,Ind Stormwater,MNRNE394P,Dugas Bowers Plating Co MNRNE394P,FA00897,BML Equivalent 01,BML Equivalent 01,45.11261,-93.26789,FA00897.2210241545.000S,10/24/2022,Water,Wtr-Storm,FtS 10:2 acid,10:2 FtS,120226-60-0,N,<0.19,,ng/L,,Below Method Detection Limit,0.19,0.99,Prelim,Total,1,TRG,PACE PFAS ID,8063,Dugas Bowers Plating Co,7965 Main St NE,Fridley,MN,55432-1843,Anoka
5443,5443,5443,Manufacturing and industrial facilities,Ind Stormwater,MNRNE394P,Dugas Bowers Plating Co MNRNE394P,FA00897,BML Equivalent 01,BML Equivalent 01,45.11261,-93.26789,FA00897.2210241545.000S,10/24/2022,Water,Wtr-Storm,11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,11Cl-PF3OUdS,763051-92-9,N,<0.12,,ng/L,,Below Method Detection Limit,0.12,0.97,Prelim,Total,1,TRG,PACE PFAS ID,8063,Dugas Bowers Plating Co,7965 Main St NE,Fridley,MN,55432-1843,Anoka
5444,5444,5444,Manufacturing and industrial facilities,Ind Stormwater,MNRNE394P,Dugas Bowers Plating Co MNRNE394P,FA00897,BML Equivalent 01,BML Equivalent 01,45.11261,-93.26789,FA00897.2210241545.000S,10/24/2022,Water,Wtr-Storm,FtS 4:2 acid,4:2 FtS,757124-72-4,N,<0.20,,ng/L,,Below Method Detection Limit,0.2,0.96,Prelim,Total,1,TRG,PACE PFAS ID,8063,Dugas Bowers Plating Co,7965 Main St NE,Fridley,MN,55432-1843,Anoka
5445,5445,5445,Manufacturing and industrial facilities,Ind Stormwater,MNRNE394P,Dugas Bowers Plating Co MNRNE394P,FA00897,BML Equivalent 01,BML Equivalent 01,45.11261,-93.26789,FA00897.2210241545.000S,10/24/2022,Water,Wtr-Storm,FtS 6:2 acid,6:2 FtS,27619-97-2,Y,11,11.0,ng/L,,,0.56,0.98,Prelim,Total,1,TRG,PACE PFAS ID,8063,Dugas Bowers Plating Co,7965 Main St NE,Fridley,MN,55432-1843,Anoka
5446,5446,5446,Manufacturing and industrial facilities,Ind Stormwater,MNRNE394P,Dugas Bowers Plating Co MNRNE394P,FA00897,BML Equivalent 01,BML Equivalent 01,45.11261,-93.26789,FA00897.2210241545.000S,10/24/2022,Water,Wtr-Storm,FtS 8:2 acid,8:2 FtS,39108-34-4,N,<0.27,,ng/L,,Below Method Detection Limit,0.27,0.99,Prelim,Total,1,TRG,PACE PFAS ID,8063,Dugas Bowers Plating Co,7965 Main St NE,Fridley,MN,55432-1843,Anoka
5447,5447,5447,Manufacturing and industrial facilities,Ind Stormwater,MNRNE394P,Dugas Bowers Plating Co MNRNE394P,FA00897,BML Equivalent 01,BML Equivalent 01,45.11261,-93.26789,FA00897.2210241545.000S,10/24/2022,Water,Wtr-Storm,9-chlorohexadecafluoro-3-oxanone-1-sulfonic acid,9Cl-PF3ONS,756426-58-1,N,<0.14,,ng/L,,Below Method Detection Limit,0.14,0.96,Prelim,Total,1,TRG,PACE PFAS ID,8063,Dugas Bowers Plating Co,7965 Main St NE,Fridley,MN,55432-1843,Anoka
5448,5448,5448,Manufacturing and industrial facilities,Ind Stormwater,MNRNE394P,Dugas Bowers Plating Co MNRNE394P,FA00897,BML Equivalent 01,BML Equivalent 01,45.11261,-93.26789,FA00897.2210241545.000S,10/24/2022,Water,Wtr-Storm,"4,8-Dioxa-3H-perfluorononanoic acid",ADONA,919005-14-4,N,<0.17,,ng/L,,Below Method Detection Limit,0.17,0.97,Prelim,Total,1,TRG,PACE PFAS ID,8063,Dugas Bowers Plating Co,7965 Main St NE,Fridley,MN,55432-1843,Anoka
5449,5449,5449,Manufacturing and industrial facilities,Ind Stormwater,MNRNE394P,Dugas Bowers Plating Co MNRNE394P,FA00897,BML Equivalent 01,BML Equivalent 01,45.11261,-93.26789,FA00897.2210241545.000S,10/24/2022,Water,Wtr-Storm,N-ethyl perfluorooctanesulfonamidoacetic acid,EtFOSAA,2991-50-6,N,<0.11,,ng/L,,Below Method Detection Limit,0.11,1.0,Prelim,Total,1,TRG,PACE PFAS ID,8063,Dugas Bowers Plating Co,7965 Main St NE,Fridley,MN,55432-1843,Anoka
